"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
1,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.663215805671783
2,43,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.504949533483418
3,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.653422684780279
4,51,TRUE,5,9,5,3,3,4,20,0.265058620995596,0.803503169951343
5,50,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.616148036069441
6,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.374307489051393
7,74,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.496540832711466
8,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.55964014776464
9,41,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.70893116077312
10,10,TRUE,11,6,6,6,2,3,29,0.30708218561556,0.92871113576013
11,29,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.612000609431649
12,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.457772933038337
13,58,FALSE,11,6,6,6,1,3,29,0.30708218561556,0.678335615710828
14,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.898139472244775
15,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.897781996384726
16,43,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.496422009030653
17,94,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.916322241132567
18,100,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.47647662840039
19,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.568681053185488
20,52,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.624848878733674
21,4,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.515141611500512
22,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.945335291968492
23,9,TRUE,21,6,6,6,6,17,29,0.30708218561556,0.945757979401704
24,77,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.60440998456394
25,84,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.57065670755675
26,88,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.575332536626415
27,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.63099932758999
28,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.65089635530761
29,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.398518668144804
30,7,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.530185511278515
31,86,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.501978980464113
32,18,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.517648196167732
33,43,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.494242254013797
34,55,FALSE,3,9,5,3,0,0,20,0.265058620995596,0.654657256744929
35,3,TRUE,45,9,5,3,4,4,20,0.265058620995596,0.91606644310012
36,83,TRUE,9,6,6,6,2,4,29,0.30708218561556,0.812442695753057
37,78,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.669126689149478
38,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.522684468212696
39,14,TRUE,5,9,5,3,1,4,20,0.265058620995596,0.801339082621807
40,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.537645358109106
41,25,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.724274904886418
42,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.580906805057693
43,67,TRUE,41,10,2,2,2,3,4,0.125878609612025,0.726408484935784
44,82,TRUE,14,4,4,7,3,13,30,0.32024948589206,0.826308604136963
45,76,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.409887701200621
46,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.419692058881647
47,21,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.383381321703426
48,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.653642971190668
49,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.775597530857464
50,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.56627237547877
51,5,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.613973291665492
52,48,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.539093202155702
53,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.755254886896799
54,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.509862289963536
55,28,TRUE,37,6,6,6,4,5,29,0.30708218561556,0.829663636571819
56,29,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.562262314676513
57,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.58649533142001
58,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.571638791290734
59,10,FALSE,11,6,6,6,2,3,29,0.30708218561556,0.671645344888853
60,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.412133239855787
61,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.739400439181621
62,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.524425640555539
63,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.495332700298671
64,80,FALSE,12,9,5,3,0,0,20,0.265058620995596,0.701202990662386
65,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.484159794170359
66,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.730324287969332
67,45,FALSE,17,4,4,7,0,3,30,0.32024948589206,0.579925151388428
68,26,FALSE,30,2,9,9,3,3,3,0.171808142870807,0.737720417949975
69,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.562092120505993
70,4,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.543987834980725
71,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.5903113142146
72,21,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.562970732610798
73,62,FALSE,30,2,9,9,0,3,3,0.171808142870807,0.556797142258937
74,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.57686632437734
75,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.928119786817319
76,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.793763395717928
77,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.551764044033225
78,46,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.531302739699031
79,88,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.434717610666607
80,5,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.445852041590461
81,66,FALSE,37,6,6,6,1,5,29,0.30708218561556,0.708138526667063
82,60,FALSE,27,10,2,2,0,0,4,0.125878609612025,0.702498326025532
83,42,FALSE,23,5,7,10,0,0,2,0.145205102176674,0.639100530368024
84,67,FALSE,41,10,2,2,2,3,4,0.125878609612025,0.744555774287824
85,53,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.483075086801178
86,79,FALSE,50,5,7,10,2,2,2,0.145205102176674,0.667081255325679
87,1,TRUE,44,4,4,7,5,13,30,0.32024948589206,0.908153961252802
88,66,FALSE,37,6,6,6,1,5,29,0.30708218561556,0.749300491520861
89,19,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.702660121762514
90,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.589250618898234
91,26,TRUE,30,2,9,9,3,3,3,0.171808142870807,0.803371699010639
92,1,TRUE,44,4,4,7,5,13,30,0.32024948589206,0.823929524330415
93,95,FALSE,17,4,4,7,0,3,30,0.32024948589206,0.710096729344903
94,79,FALSE,50,5,7,10,2,2,2,0.145205102176674,0.624866663270047
95,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.584361083777472
96,37,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.777833141715247
97,30,FALSE,22,4,4,7,1,1,30,0.32024948589206,0.685601646763452
98,73,TRUE,17,4,4,7,3,3,30,0.32024948589206,0.813801149666861
99,82,TRUE,14,4,4,7,3,13,30,0.32024948589206,0.879118963298402
100,52,TRUE,9,6,6,6,2,4,29,0.30708218561556,0.802788388665119
101,67,TRUE,41,10,2,2,2,3,4,0.125878609612025,0.813108085959908
102,93,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.448060032090098
103,52,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.681093208702692
104,86,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.530170977479021
105,100,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.452754157224551
106,22,TRUE,21,6,6,6,4,17,29,0.30708218561556,0.903425923575611
107,99,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.666610954813605
108,19,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.732583281734528
109,78,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.526748207773138
110,76,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.684281301245359
111,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.893547207386668
112,46,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.446100656879599
113,58,FALSE,11,6,6,6,1,3,29,0.30708218561556,0.771244096179763
114,3,TRUE,45,9,5,3,4,4,20,0.265058620995596,0.891905393624443
115,30,FALSE,22,4,4,7,1,1,30,0.32024948589206,0.554886037129188
116,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.790654329577402
117,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.460069660217831
118,5,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.62053904179707
119,44,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.574471091933895
120,73,FALSE,17,4,4,7,3,3,30,0.32024948589206,0.720657745324498
121,37,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.760910803157824
122,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.728385649771488
123,60,FALSE,27,10,2,2,0,0,4,0.125878609612025,0.482535317726952
124,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.509075162502024
125,70,FALSE,4,10,2,2,0,0,4,0.125878609612025,0.478035113205794
126,9,TRUE,21,6,6,6,6,17,29,0.30708218561556,0.968848110032098
127,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.722464098476417
128,19,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.613642192513586
129,20,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.598530283377755
130,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.525156034906594
131,51,TRUE,5,9,5,3,3,4,20,0.265058620995596,0.818175067193836
132,90,FALSE,42,3,10,5,0,0,0,0.0970420208308609,0.477994043404352
133,66,TRUE,37,6,6,6,1,5,29,0.30708218561556,0.821180032083011
134,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.445931084366825
135,35,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.604927949365251
136,58,FALSE,11,6,6,6,1,3,29,0.30708218561556,0.694843232518766
137,14,FALSE,5,9,5,3,1,4,20,0.265058620995596,0.600291605615111
138,26,FALSE,30,2,9,9,3,3,3,0.171808142870807,0.623638480247403
139,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.438878570558158
140,17,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.485779196012389
141,33,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.657933893014585
142,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.544307657174751
143,43,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.505197768527251
144,67,FALSE,41,10,2,2,2,3,4,0.125878609612025,0.673264810495878
145,25,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.46412024555685
146,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.879254506255493
147,26,FALSE,30,2,9,9,3,3,3,0.171808142870807,0.608232676621717
148,70,FALSE,4,10,2,2,0,0,4,0.125878609612025,0.54446230164938
149,55,FALSE,3,9,5,3,0,0,20,0.265058620995596,0.748015788470952
150,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.454025514528198
151,44,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.666033967903153
152,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.935873824137566
153,4,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.52789155425976
154,27,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.770386241201963
155,93,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.61264621324395
156,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.899495561913339
157,48,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.490268281546879
158,14,FALSE,5,9,5,3,1,4,20,0.265058620995596,0.756281078277521
159,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.524277605678163
160,68,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.528136131446168
161,29,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.568920068670173
162,79,FALSE,50,5,7,10,2,2,2,0.145205102176674,0.660849730683606
163,26,TRUE,30,2,9,9,3,3,3,0.171808142870807,0.875581857436376
164,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.699430547833076
165,53,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.602054326986307
166,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.633648622783422
167,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.471293058012134
168,64,FALSE,38,3,10,5,0,0,0,0.0970420208308609,0.612185909939807
169,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.554322746830634
170,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.908556956141075
171,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.734168997708027
172,4,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.444900600898223
173,17,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.54728208331557
174,57,FALSE,28,9,5,3,1,7,20,0.265058620995596,0.777884924282614
175,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.910563339046192
176,52,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.776396043617406
177,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.387186578562026
178,60,FALSE,27,10,2,2,0,0,4,0.125878609612025,0.568348030422641
179,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.468163235438473
180,54,FALSE,40,10,2,2,0,0,4,0.125878609612025,0.450543125050679
181,31,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.558342652538036
182,50,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.533704285476897
183,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.921468802376389
184,18,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.663788665106038
185,42,FALSE,23,5,7,10,0,0,2,0.145205102176674,0.616701059738819
186,19,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.579667226065786
187,50,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.59145170717063
188,88,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.451967060741166
189,74,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.56882368835538
190,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.974570003216805
191,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.563629667262253
192,53,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.541631898230311
193,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.970950315013493
194,100,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.495282077168992
195,28,TRUE,37,6,6,6,4,5,29,0.30708218561556,0.87969162841295
196,73,TRUE,17,4,4,7,3,3,30,0.32024948589206,0.833230753420009
197,8,FALSE,5,9,5,3,0,4,20,0.265058620995596,0.616258421436743
198,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.590164280047085
199,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.550236543431894
200,100,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.516562026003023
201,3,TRUE,45,9,5,3,4,4,20,0.265058620995596,0.843046964236105
202,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.453631580848375
203,57,TRUE,28,9,5,3,1,7,20,0.265058620995596,0.881542395638963
204,45,FALSE,17,4,4,7,0,3,30,0.32024948589206,0.755846627233545
205,23,TRUE,28,9,5,3,6,7,20,0.265058620995596,0.953006697067319
206,17,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.717140579762476
207,79,FALSE,50,5,7,10,2,2,2,0.145205102176674,0.671823642773234
208,30,FALSE,22,4,4,7,1,1,30,0.32024948589206,0.771910070757988
209,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.707468302953628
210,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.515508554486637
211,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.627315459884711
212,12,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.592030322037043
213,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.419632673327885
214,14,FALSE,5,9,5,3,1,4,20,0.265058620995596,0.690825317268796
215,61,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.722255895876844
216,76,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.63900819102929
217,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.420559397953787
218,86,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.534997943937456
219,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.608560311465324
220,39,FALSE,16,3,10,5,0,0,0,0.0970420208308609,0.366433658272785
221,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.660522592134368
222,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.511473311936373
223,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.598505844580125
224,85,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.569546426468726
225,27,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.709523043005053
226,74,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.442103577350928
227,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.511087008062179
228,80,FALSE,12,9,5,3,0,0,20,0.265058620995596,0.615232035305967
229,12,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.627196172477992
230,16,TRUE,6,7,3,4,2,2,2,0.18272583882674,0.858036735714007
231,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.574827471002498
232,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.960094336536883
233,36,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.807461179607744
234,4,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.682856277003806
235,33,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.491212818943736
236,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.5917265958725
237,10,TRUE,11,6,6,6,2,3,29,0.30708218561556,0.907541165431718
238,62,FALSE,30,2,9,9,0,3,3,0.171808142870807,0.594712860858736
239,36,FALSE,14,4,4,7,5,13,30,0.32024948589206,0.770322669113016
240,9,TRUE,21,6,6,6,6,17,29,0.30708218561556,0.939387382321081
241,22,TRUE,21,6,6,6,4,17,29,0.30708218561556,0.900762440260541
242,48,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.475509075456686
243,18,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.717820940338182
244,21,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.538063443253088
245,7,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.257355123223526
246,43,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.427373874653404
247,22,TRUE,21,6,6,6,4,17,29,0.30708218561556,0.932404355848418
248,79,FALSE,50,5,7,10,2,2,2,0.145205102176674,0.615827047794437
249,27,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.555274184627581
250,56,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.59258210846601
251,95,FALSE,17,4,4,7,0,3,30,0.32024948589206,0.563116088398199
252,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.635057762805724
253,25,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.606171352536705
254,31,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.733444022295669
255,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.62621296792982
256,36,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.821307278459289
257,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.529287091877397
258,61,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.645660720905773
259,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.500655466084927
260,66,FALSE,37,6,6,6,1,5,29,0.30708218561556,0.776843364980046
261,35,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.572349100713474
262,71,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.596916551006542
