"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
1,1967,FALSE,420,187,161,191,0,0,1,0.0920072531624143,0.510498337588121
2,1173,FALSE,511,181,164,102,0,0,0,0.0755920840940604,0.619594677316885
3,519,FALSE,117,198,103,79,0,0,0,0.0915614273420841,0.408871104140154
4,1015,FALSE,438,43,106,173,0,0,0,0.0871468406710222,0.718605344940122
5,120,FALSE,172,83,59,140,0,0,1,0.0790202481967531,0.533502616998164
6,1109,FALSE,123,157,82,148,0,0,0,0.0806266722059588,0.452865574198697
7,1136,FALSE,39,51,99,27,0,0,0,0.0938724947466088,0.526030293270554
8,290,FALSE,408,46,198,94,0,0,0,0.0716098194147146,0.474838478092555
9,599,FALSE,110,95,169,33,0,0,0,0.0745548438969235,0.516595322579609
10,480,FALSE,766,109,73,36,0,0,0,0.0912337709669433,0.614248051746995
11,644,TRUE,453,100,54,104,6,16,89,0.085604559892829,0.924028936049042
12,418,FALSE,211,139,3,83,0,0,0,0.0937123722228726,0.609413041702172
13,76,FALSE,859,168,44,84,0,0,0,0.0848036827608235,0.580349795279387
14,1573,FALSE,836,3,91,159,0,0,0,0.0904376624704487,0.573918656105125
15,237,FALSE,136,80,117,49,0,0,0,0.0829941679403609,0.606915054707231
16,1442,FALSE,355,174,22,95,0,0,0,0.0971381730964246,0.530654233455761
17,327,FALSE,287,172,179,3,0,0,0,0.0932421119526173,0.546636759078098
18,1588,FALSE,515,24,109,172,0,0,0,0.0735251879250377,0.658896042608431
19,1903,FALSE,894,73,76,152,0,0,0,0.077206331056822,0.630243454606474
20,1927,FALSE,895,169,55,37,0,0,0,0.0726442678490445,0.602391973242395
21,852,FALSE,654,137,61,197,0,0,0,0.0764811509180616,0.658105747989575
22,987,FALSE,1,151,88,42,0,0,0,0.0933829229360678,0.596136782987613
23,276,FALSE,311,149,71,108,0,3,4,0.0786748065769999,0.602854661735342
24,1076,FALSE,716,58,45,15,0,0,0,0.0870893446953594,0.605234970491604
25,110,FALSE,57,67,143,99,0,0,0,0.0826372286016341,0.524501699238406
26,226,FALSE,201,134,180,38,0,0,0,0.075544822492641,0.549812508035731
27,1014,FALSE,117,198,103,79,0,0,0,0.0741953998423013,0.640119673459409
28,1323,FALSE,326,19,118,40,0,0,0,0.0809785165152652,0.564357007203067
29,160,FALSE,459,158,20,150,0,0,0,0.0797518713010056,0.579847315475776
30,1560,FALSE,213,163,58,149,0,0,2,0.0931037888945144,0.685929469697529
31,463,FALSE,256,148,192,196,0,0,0,0.0889864278368168,0.62769618481046
32,618,FALSE,267,187,161,191,1,1,1,0.0749662701466106,0.669071698864611
33,1751,FALSE,89,154,69,11,0,0,0,0.091107016692021,0.436474584014125
34,1204,FALSE,527,95,169,33,0,0,0,0.0956894153821032,0.63814728549166
35,547,FALSE,638,68,39,65,0,0,0,0.0897588481312538,0.577259341953923
36,1771,FALSE,942,55,190,1,0,0,0,0.0990743318918274,0.59947781003959
37,660,FALSE,171,27,19,182,0,0,0,0.0800474784157392,0.447496511381395
38,1417,FALSE,195,61,123,86,0,0,0,0.108564508559782,0.576325737662235
39,1620,FALSE,973,137,61,197,0,0,0,0.0938724947466088,0.470353509654664
40,1076,FALSE,716,58,45,15,0,0,0,0.0606581817872789,0.584906056176534
41,1810,FALSE,362,178,34,89,0,0,0,0.0788324844656117,0.704339448417047
42,976,FALSE,641,183,46,47,0,0,0,0.0698540544577156,0.628774037934182
43,1971,FALSE,182,25,101,76,0,0,0,0.0956894153821032,0.598894078924193
44,799,FALSE,183,59,31,130,0,0,0,0.0871199049055316,0.551025364033492
45,1322,FALSE,55,78,110,122,0,0,0,0.0790328578012999,0.634919899080977
46,1194,FALSE,525,96,135,156,0,0,0,0.0624232183791819,0.447706657652167
47,655,FALSE,666,76,98,5,0,0,0,0.0755399172935652,0.52507547239057
48,1358,FALSE,140,59,31,130,0,0,0,0.0808407985864472,0.501624888758837
49,873,FALSE,268,4,154,129,0,0,0,0.0718969956765922,0.623173802663672
50,1986,FALSE,473,83,59,140,0,0,1,0.0846255763134779,0.487240655879732
51,828,FALSE,332,151,88,42,0,0,0,0.0829941679403609,0.570299643262914
52,740,TRUE,825,39,200,166,9,15,102,0.0990743318918274,0.99998946001993
53,1786,FALSE,415,174,22,95,0,0,0,0.0884669459363567,0.696027086797136
54,601,FALSE,40,41,151,177,1,1,2,0.0848036827608235,0.593718105228504
55,1409,FALSE,550,189,8,57,0,0,0,0.0904376624704487,0.597391460975765
