"arrangeVar","groupSize","totalSus","nDesc","nGroups","totalTest","opt","i","p0","pI","threshold","n"
"sus",10,2129,1919,213,423,"num",1,0.00986378581493659,0.01,0.768702284665778,2129
"nei",10,2129,1929,213,413,"num",1,0.00986378581493659,0.01,0.768702284665778,2129
"buil",11,2129,1931,194,392,"num",1,0.00986378581493659,0.01,0.768702284665778,2129
"fam",15,2129,1874,142,397,"num",1,0.00986378581493659,0.01,0.768702284665778,2129
"infP",57,2129,2017,38,150,"num",1,0.00986378581493659,0.01,0.768702284665778,2129
"sus",6,2129,1739,355,745,"num",2,0.0319398778769375,0.01,0.768702284665778,2129
"buil",7,2129,1772,305,662,"num",2,0.0319398778769375,0.01,0.768702284665778,2129
"nei",7,2129,1766,305,668,"num",2,0.0319398778769375,0.01,0.768702284665778,2129
"fam",8,2129,1721,267,675,"num",2,0.0319398778769375,0.01,0.768702284665778,2129
"infP",8,2129,1807,267,589,"num",2,0.0319398778769375,0.01,0.768702284665778,2129
"sus",3,2129,1304,710,1535,"num",3,0.151244715829028,0.01,0.768702284665778,2129
"fam",5,2129,1369,426,1186,"num",3,0.151244715829028,0.01,0.768702284665778,2129
"buil",7,2129,1317,305,1117,"num",3,0.151244715829028,0.01,0.768702284665778,2129
"nei",9,2129,1186,237,1180,"num",3,0.151244715829028,0.01,0.768702284665778,2129
"infP",13,2129,1378,164,915,"num",3,0.151244715829028,0.01,0.768702284665778,2129
"sus",1,2129,1316,2129,2129,"num",4,0.381869422263974,0.01,0.768702284665778,2129
"fam",5,2129,789,426,1766,"num",4,0.381869422263974,0.01,0.768702284665778,2129
"buil",5,2129,899,426,1656,"num",4,0.381869422263974,0.01,0.768702284665778,2129
"nei",11,2129,780,194,1543,"num",4,0.381869422263974,0.01,0.768702284665778,2129
"infP",15,2129,855,142,1416,"num",4,0.381869422263974,0.01,0.768702284665778,2129
"sus",1,2129,933,2129,2129,"num",5,0.56176608736496,0.01,0.768702284665778,2129
"fam",5,2129,485,426,2070,"num",5,0.56176608736496,0.01,0.768702284665778,2129
"buil",7,2129,558,305,1876,"num",5,0.56176608736496,0.01,0.768702284665778,2129
"nei",13,2129,584,164,1709,"num",5,0.56176608736496,0.01,0.768702284665778,2129
"infP",14,2129,686,153,1596,"num",5,0.56176608736496,0.01,0.768702284665778,2129
"sus",1,2129,776,2129,2129,"num",6,0.635509628933772,0.01,0.768702284665778,2129
"fam",1,2129,776,2129,2129,"num",6,0.635509628933772,0.01,0.768702284665778,2129
"buil",7,2129,406,305,2028,"num",6,0.635509628933772,0.01,0.768702284665778,2129
"nei",17,2129,374,126,1881,"num",6,0.635509628933772,0.01,0.768702284665778,2129
"infP",47,2129,516,46,1659,"num",6,0.635509628933772,0.01,0.768702284665778,2129
"sus",1,2129,566,2129,2129,"num",7,0.734147487083138,0.01,0.768702284665778,2129
"fam",1,2129,566,2129,2129,"num",7,0.734147487083138,0.01,0.768702284665778,2129
"buil",1,2129,566,2129,2129,"num",7,0.734147487083138,0.01,0.768702284665778,2129
"nei",19,2129,209,113,2033,"num",7,0.734147487083138,0.01,0.768702284665778,2129
"infP",23,2129,253,93,1969,"num",7,0.734147487083138,0.01,0.768702284665778,2129
"sus",1,2129,343,2129,2129,"num",8,0.838891498356036,0.01,0.768702284665778,2129
"fam",1,2129,343,2129,2129,"num",8,0.838891498356036,0.01,0.768702284665778,2129
"buil",1,2129,343,2129,2129,"num",8,0.838891498356036,0.01,0.768702284665778,2129
"infP",46,2129,138,47,2038,"num",8,0.838891498356036,0.01,0.768702284665778,2129
"nei",52,2129,52,41,2118,"num",8,0.838891498356036,0.01,0.768702284665778,2129
"sus",1,2129,209,2129,2129,"num",9,0.90183184593706,0.01,0.768702284665778,2129
"fam",1,2129,209,2129,2129,"num",9,0.90183184593706,0.01,0.768702284665778,2129
"buil",1,2129,209,2129,2129,"num",9,0.90183184593706,0.01,0.768702284665778,2129
"nei",1,2129,209,2129,2129,"num",9,0.90183184593706,0.01,0.768702284665778,2129
"infP",54,2129,108,40,2061,"num",9,0.90183184593706,0.01,0.768702284665778,2129
"sus",1,2129,110,2129,2129,"num",10,0.948332550493189,0.01,0.768702284665778,2129
"fam",1,2129,110,2129,2129,"num",10,0.948332550493189,0.01,0.768702284665778,2129
"buil",1,2129,110,2129,2129,"num",10,0.948332550493189,0.01,0.768702284665778,2129
"nei",1,2129,110,2129,2129,"num",10,0.948332550493189,0.01,0.768702284665778,2129
"infP",1,2129,110,2129,2129,"num",10,0.948332550493189,0.01,0.768702284665778,2129
"infP",24,814,791,34,57,"num",1,0.00122850122850123,0.001,0.738410371821374,814
"nei",25,814,790,33,57,"num",1,0.00122850122850123,0.001,0.738410371821374,814
"sus",27,814,788,31,57,"num",1,0.00122850122850123,0.001,0.738410371821374,814
"fam",27,814,788,31,57,"num",1,0.00122850122850123,0.001,0.738410371821374,814
"buil",27,814,788,31,57,"num",1,0.00122850122850123,0.001,0.738410371821374,814
