"arrangeVar","groupSize","totalSus","nDesc","nGroups","opt","totalTest","i","p0","pI","threshold","n"
"fam",29,1115,1087,39,"num",67,1,0.000896860986547085,0.001,0.724192538484931,1115
"nei",31,1115,1084,36,"num",67,1,0.000896860986547085,0.001,0.724192538484931,1115
"infP",31,1115,1085,36,"num",66,1,0.000896860986547085,0.001,0.724192538484931,1115
"sus",32,1115,1084,35,"num",66,1,0.000896860986547085,0.001,0.724192538484931,1115
"buil",33,1115,1083,34,"num",66,1,0.000896860986547085,0.001,0.724192538484931,1115
"fam",9,1115,989,124,"num",250,2,0.0143497757847534,0.001,0.724192538484931,1115
"buil",10,1115,995,112,"num",232,2,0.0143497757847534,0.001,0.724192538484931,1115
"nei",11,1115,973,102,"num",244,2,0.0143497757847534,0.001,0.724192538484931,1115
"sus",12,1115,959,93,"num",249,2,0.0143497757847534,0.001,0.724192538484931,1115
"infP",31,1115,1085,36,"num",66,2,0.0143497757847534,0.001,0.724192538484931,1115
"sus",3,1115,656,372,"num",831,3,0.165919282511211,0.001,0.724192538484931,1115
"fam",4,1115,655,279,"num",739,3,0.165919282511211,0.001,0.724192538484931,1115
"nei",4,1115,655,279,"num",739,3,0.165919282511211,0.001,0.724192538484931,1115
"buil",5,1115,645,223,"num",693,3,0.165919282511211,0.001,0.724192538484931,1115
"infP",31,1115,899,36,"num",252,3,0.165919282511211,0.001,0.724192538484931,1115
"sus",1,1115,463,1115,"num",1115,4,0.5847533632287,0.001,0.724192538484931,1115
"fam",1,1115,463,1115,"num",1115,4,0.5847533632287,0.001,0.724192538484931,1115
"buil",1,1115,463,1115,"num",1115,4,0.5847533632287,0.001,0.724192538484931,1115
"nei",1,1115,463,1115,"num",1115,4,0.5847533632287,0.001,0.724192538484931,1115
"infP",13,1115,403,86,"num",798,4,0.5847533632287,0.001,0.724192538484931,1115
"sus",1,1115,36,1115,"num",1115,5,0.967713004484305,0.001,0.724192538484931,1115
"fam",1,1115,36,1115,"num",1115,5,0.967713004484305,0.001,0.724192538484931,1115
"buil",1,1115,36,1115,"num",1115,5,0.967713004484305,0.001,0.724192538484931,1115
"nei",1,1115,36,1115,"num",1115,5,0.967713004484305,0.001,0.724192538484931,1115
"infP",36,1115,36,31,"num",1110,5,0.967713004484305,0.001,0.724192538484931,1115
"fam",23,720,698,32,"num",54,1,0.00138888888888889,0.001,0.711789564264472,720
"buil",24,720,696,30,"num",54,1,0.00138888888888889,0.001,0.711789564264472,720
"infP",25,720,696,29,"num",53,1,0.00138888888888889,0.001,0.711789564264472,720
"sus",26,720,695,28,"num",53,1,0.00138888888888889,0.001,0.711789564264472,720
"nei",26,720,695,28,"num",53,1,0.00138888888888889,0.001,0.711789564264472,720
"buil",9,720,648,80,"num",152,2,0.0125,0.001,0.711789564264472,720
"nei",9,720,648,80,"num",152,2,0.0125,0.001,0.711789564264472,720
"fam",12,720,636,60,"num",144,2,0.0125,0.001,0.711789564264472,720
"sus",14,720,623,52,"num",149,2,0.0125,0.001,0.711789564264472,720
"infP",17,720,688,43,"num",75,2,0.0125,0.001,0.711789564264472,720
"sus",4,720,456,180,"num",444,3,0.109722222222222,0.001,0.711789564264472,720
"fam",5,720,485,144,"num",379,3,0.109722222222222,0.001,0.711789564264472,720
"buil",6,720,474,120,"num",366,3,0.109722222222222,0.001,0.711789564264472,720
"nei",6,720,432,120,"num",408,3,0.109722222222222,0.001,0.711789564264472,720
"infP",19,720,570,38,"num",188,3,0.109722222222222,0.001,0.711789564264472,720
"sus",1,720,381,720,"num",720,4,0.470833333333333,0.001,0.711789564264472,720
"fam",4,720,200,180,"num",700,4,0.470833333333333,0.001,0.711789564264472,720
"buil",8,720,200,90,"num",610,4,0.470833333333333,0.001,0.711789564264472,720
"nei",11,720,140,66,"num",646,4,0.470833333333333,0.001,0.711789564264472,720
"infP",12,720,336,60,"num",444,4,0.470833333333333,0.001,0.711789564264472,720
"sus",1,720,110,720,"num",720,5,0.847222222222222,0.001,0.711789564264472,720
"fam",1,720,110,720,"num",720,5,0.847222222222222,0.001,0.711789564264472,720
"buil",1,720,110,720,"num",720,5,0.847222222222222,0.001,0.711789564264472,720
"nei",1,720,110,720,"num",720,5,0.847222222222222,0.001,0.711789564264472,720
"infP",43,720,86,17,"num",651,5,0.847222222222222,0.001,0.711789564264472,720
"sus",1,720,27,720,"num",720,6,0.9625,0.001,0.711789564264472,720
"fam",1,720,27,720,"num",720,6,0.9625,0.001,0.711789564264472,720
"buil",1,720,27,720,"num",720,6,0.9625,0.001,0.711789564264472,720
"nei",1,720,27,720,"num",720,6,0.9625,0.001,0.711789564264472,720
"infP",1,720,27,720,"num",720,6,0.9625,0.001,0.711789564264472,720
"sus",1,720,24,720,"num",720,7,0.966666666666667,0.001,0.711789564264472,720
"fam",1,720,24,720,"num",720,7,0.966666666666667,0.001,0.711789564264472,720
"buil",1,720,24,720,"num",720,7,0.966666666666667,0.001,0.711789564264472,720
"nei",1,720,24,720,"num",720,7,0.966666666666667,0.001,0.711789564264472,720
"infP",1,720,24,720,"num",720,7,0.966666666666667,0.001,0.711789564264472,720
